resort,observation_date,region,reach,question,treatment,transect,dist,plot_id,species_code,browse,percent_cover,datasheet_page,notes,scientific_name,common_name,vegetation_type,beaver_preference,x,percent_cover_num,circle_name,observation_date.only
448,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,130,CCEBTA130,RUUR,no,2,7,NA,Rubus ursinus,trailing blackberry,NA,NA,NA,2,A130,2022-10-13
449,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,130,CCEBTA130,ADAL,no,3,7,NA,Adiantum aleuticum,maiden hair fern,NA,NA,NA,3,A130,2022-10-13
450,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,130,CCEBTA130,ARDI,no,1,7,NA,Aruncus dioicus,goatsbeard,NA,NA,NA,1,A130,2022-10-13
451,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,130,CCEBTA130,SARA,no,1,7,NA,Sambucus racemosa,red elderberry,NA,highly preferred,NA,1,A130,2022-10-13
452,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,ABAM,no,60,7,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,60,A075,2022-10-13
453,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,ATFE,no,10,7,NA,Athyrium filix-femina,lady fern,NA,NA,NA,10,A075,2022-10-13
454,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,GYDI,no,5,7,NA,Gymnocarpium disjunctum,oak fern,NA,NA,NA,5,A075,2022-10-13
455,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,MAST,no,1,7,NA,Maianthemum stellatum,star-flowered Solomon's seal,NA,NA,NA,1,A075,2022-10-13
456,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,OPHO,no,30,7,NA,Oplopanax horridus,devil's club,NA,NA,NA,30,A075,2022-10-13
457,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,POMU,no,75,7,NA,Polystichum munitum,sword fern,NA,NA,NA,75,A075,2022-10-13
458,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,RUSP,no,5,7,NA,Rubus spectabilis,salmonberry,NA,preferred,NA,5,A075,2022-10-13
459,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,STSP,no,5,7,NA,Struthiopteris spicant,deer fern,NA,NA,NA,5,A075,2022-10-13
460,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,TITR,no,15,7,NA,Tiarella trifoliata,foam flower,NA,NA,NA,15,A075,2022-10-13
461,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,VAPA,no,10,7,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,10,A075,2022-10-13
462,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,ADAL,no,3,7,NA,Adiantum aleuticum,maiden hair fern,NA,NA,NA,3,A075,2022-10-13
463,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,TOME,no,10,7,NA,Tolmiea menziesii,piggyback plant,NA,NA,NA,10,A075,2022-10-13
464,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,DREX,no,2,7,NA,Dryopteris expansa,spreading wood fern,NA,NA,NA,2,A075,2022-10-13
465,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,RIBR,no,3,7,NA,Ribes bracteosum,stink currant,NA,NA,NA,3,A075,2022-10-13
466,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,SARA,no,trace,7,NA,Sambucus racemosa,red elderberry,NA,highly preferred,NA,0.5,A075,2022-10-13
467,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,CAHA,no,7,7,NA,Carex Hendersonii,Henderson Sedge,NA,NA,NA,7,A075,2022-10-13
468,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,CLSI,no,trace,7,NA,Claytonia sibirica,miners lettuce or candy flower,NA,NA,NA,0.5,A075,2022-10-13
469,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,HYTE,no,1,7,NA,Hydrophyllum tenuipes,Pacific waterleaf,NA,NA,NA,1,A075,2022-10-13
470,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,75,CCEBTA075,BRVU,no,3,7,NA,Bromus vulgaris,Columbia Brome,NA,NA,NA,3,A075,2022-10-13
471,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,ABAM,no,15,8,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,15,A020,2022-10-13
472,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,ATFE,no,10,8,NA,Athyrium filix-femina,lady fern,NA,NA,NA,10,A020,2022-10-13
473,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,CIAL,no,2,8,NA,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,2,A020,2022-10-13
474,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,OPHO,no,2,8,NA,Oplopanax horridus,devil's club,NA,NA,NA,2,A020,2022-10-13
475,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,POMU,no,5,8,NA,Polystichum munitum,sword fern,NA,NA,NA,5,A020,2022-10-13
476,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,RUSP,beaver,50,8,NA,Rubus spectabilis,salmonberry,NA,preferred,NA,50,A020,2022-10-13
477,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,TITR,no,5,8,NA,Tiarella trifoliata,foam flower,NA,NA,NA,5,A020,2022-10-13
478,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,BRVU,no,5,8,NA,Bromus vulgaris,Columbia Brome,NA,NA,NA,5,A020,2022-10-13
479,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,SCMI,no,15,8,NA,Scirpus microcarpus,small fruited bulrush,NA,NA,NA,15,A020,2022-10-13
480,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,TOME,no,55,8,NA,Tolmiea menziesii,piggyback plant,NA,NA,NA,55,A020,2022-10-13
481,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,RUPA,beaver,5,8,NA,Rubus parviflorus,thimbleberry,NA,NA,NA,5,A020,2022-10-13
482,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,RIBR,beaver,5,8,NA,Ribes bracteosum,stink currant,NA,NA,NA,5,A020,2022-10-13
483,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,PEFR,no,1,8,NA,Petasites frigidus var. palmatus,western coltsfoot,NA,NA,NA,1,A020,2022-10-13
484,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,GLXXSP,no,1,8,NA,Glyceria sp.,glyciria species,NA,NA,NA,1,A020,2022-10-13
485,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,A,20,CCEBTA020,STCO,no,1,8,NA,Stachys cooleyae,Cooley's Hedge-nettle,NA,NA,NA,1,A020,2022-10-13
486,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,ABAM,no,70,9,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,70,B020,2022-10-13
487,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,ALRU,no,5,9,NA,Alnus rubra,red alder,tree,NA,NA,5,B020,2022-10-13
488,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,TSHE,no,5,9,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,5,B020,2022-10-13
489,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,ATFE,no,30,9,NA,Athyrium filix-femina,lady fern,NA,NA,NA,30,B020,2022-10-13
490,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,RHME,no,5,9,NA,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,5,B020,2022-10-13
491,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,CIAL,no,trace,9,NA,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,0.5,B020,2022-10-13
492,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,MADI,no,1,9,NA,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,1,B020,2022-10-13
493,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,OPHO,no,15,9,NA,Oplopanax horridus,devil's club,NA,NA,NA,15,B020,2022-10-13
494,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,POMU,no,5,9,NA,Polystichum munitum,sword fern,NA,NA,NA,5,B020,2022-10-13
495,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,RUSP,no,55,9,NA,Rubus spectabilis,salmonberry,NA,preferred,NA,55,B020,2022-10-13
496,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,TITR,no,25,9,NA,Tiarella trifoliata,foam flower,NA,NA,NA,25,B020,2022-10-13
497,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,VAPA,no,5,9,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,5,B020,2022-10-13
498,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,RIBR,no,20,9,NA,Ribes bracteosum,stink currant,NA,NA,NA,20,B020,2022-10-13
499,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,RUPA,no,20,9,NA,Rubus parviflorus,thimbleberry,NA,NA,NA,20,B020,2022-10-13
500,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,RUPE,no,2,9,NA,Rubus pedatus,creeping raspberry,NA,NA,NA,2,B020,2022-10-13
501,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,ACTR,no,3,9,NA,Achlys triphylla,vanilla leaf,NA,NA,NA,3,B020,2022-10-13
502,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,GYDI,no,2,9,NA,Gymnocarpium disjunctum,oak fern,NA,NA,NA,2,B020,2022-10-13
503,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,RUUR,no,3,9,NA,Rubus ursinus,trailing blackberry,NA,NA,NA,3,B020,2022-10-13
504,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,BRXXSP,no,2,9,NA,Bromus sp.,Bromus species - grasses,NA,NA,NA,2,B020,2022-10-13
505,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,20,CCEBTB020,ROGY,no,1,9,NA,Rosa gymnocarpa,baldhip rose,NA,NA,common name looked up by beka,1,B020,2022-10-13
506,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,ALRU,no,20,9,NA,Alnus rubra,red alder,tree,NA,NA,20,B075,2022-10-13
507,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,TSHE,no,trace,9,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,0.5,B075,2022-10-13
508,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,ATFE,no,15,9,NA,Athyrium filix-femina,lady fern,NA,NA,NA,15,B075,2022-10-13
509,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,TOME,no,90,9,NA,Tolmiea menziesii,piggyback plant,NA,NA,NA,90,B075,2022-10-13
510,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,CIAL,no,trace,9,NA,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,0.5,B075,2022-10-13
511,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,FRPU,no,2,9,"still shrub sized, no DBH recorded",Frangula purshiana,cascara,tree,NA,NA,2,B075,2022-10-13
512,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,GATR,no,trace,9,NA,Galium triflorum,galium,NA,NA,NA,0.5,B075,2022-10-13
513,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,SARA,no,2,9,NA,Sambucus racemosa,red elderberry,NA,highly preferred,NA,2,B075,2022-10-13
514,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,OPHO,no,5,9,NA,Oplopanax horridus,devil's club,NA,NA,NA,5,B075,2022-10-13
515,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,POMU,no,5,9,NA,Polystichum munitum,sword fern,NA,NA,NA,5,B075,2022-10-13
516,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,RUSP,no,20,9,NA,Rubus spectabilis,salmonberry,NA,preferred,NA,20,B075,2022-10-13
517,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,STSP,no,trace,9,NA,Struthiopteris spicant,deer fern,NA,NA,NA,0.5,B075,2022-10-13
518,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,TITR,no,trace,9,NA,Tiarella trifoliata,foam flower,NA,NA,NA,0.5,B075,2022-10-13
519,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,RIBR,no,70,9,NA,Ribes bracteosum,stink currant,NA,NA,NA,70,B075,2022-10-13
520,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,RUPA,no,3,9,NA,Rubus parviflorus,thimbleberry,NA,NA,NA,3,B075,2022-10-13
521,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,RUPE,no,2,9,NA,Rubus pedatus,creeping raspberry,NA,NA,NA,2,B075,2022-10-13
522,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,GYDI,no,1,9,NA,Gymnocarpium disjunctum,oak fern,NA,NA,NA,1,B075,2022-10-13
523,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,B,75,CCEBTB075,RUUR,no,2,9,NA,Rubus ursinus,trailing blackberry,NA,NA,NA,2,B075,2022-10-13
524,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,ABAM,no,80,10,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,80,D020,2022-10-13
525,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,ATFE,no,30,10,NA,Athyrium filix-femina,lady fern,NA,NA,NA,30,D020,2022-10-13
526,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,RHME,no,2,10,NA,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,2,D020,2022-10-13
527,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,GYDI,no,1,10,NA,Gymnocarpium disjunctum,oak fern,NA,NA,NA,1,D020,2022-10-13
528,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,LYAM,no,1,10,NA,Lysichiton americanus,skunk cabbage,NA,NA,NA,1,D020,2022-10-13
529,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,OPHO,no,15,10,NA,Oplopanax horridus,devil's club,NA,NA,NA,15,D020,2022-10-13
530,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,POMU,no,10,10,NA,Polystichum munitum,sword fern,NA,NA,NA,10,D020,2022-10-13
531,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,RUSP,no,2,10,NA,Rubus spectabilis,salmonberry,NA,preferred,NA,2,D020,2022-10-13
532,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,RUUR,no,trace,10,NA,Rubus ursinus,trailing blackberry,NA,NA,NA,0.5,D020,2022-10-13
533,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,TITR,no,15,10,NA,Tiarella trifoliata,foam flower,NA,NA,NA,15,D020,2022-10-13
534,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,VAPA,no,1,10,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,1,D020,2022-10-13
535,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,RUPA,no,20,10,NA,Rubus parviflorus,thimbleberry,NA,NA,NA,20,D020,2022-10-13
536,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,RUPE,no,2,10,NA,Rubus pedatus,creeping raspberry,NA,NA,NA,2,D020,2022-10-13
537,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,RIBR,no,10,10,NA,Ribes bracteosum,stink currant,NA,NA,NA,10,D020,2022-10-13
538,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,SARA,no,10,10,NA,Sambucus racemosa,red elderberry,NA,highly preferred,NA,10,D020,2022-10-13
539,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,TOME,no,60,10,NA,Tolmiea menziesii,piggyback plant,NA,NA,NA,60,D020,2022-10-13
540,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,EQXXSP,no,trace,10,NA,Equisetum sp.,horsetail species,NA,NA,NA,0.5,D020,2022-10-13
541,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,20,CCEBTD020,HYTE,no,trace,10,NA,Hydrophyllum tenuipes,Pacific waterleaf,NA,NA,NA,0.5,D020,2022-10-13
542,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,ABAM,no,40,10,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,40,D075,2022-10-13
543,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,TSHE,no,60,10,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,60,D075,2022-10-13
544,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,ATFE,no,40,10,NA,Athyrium filix-femina,lady fern,NA,NA,NA,40,D075,2022-10-13
545,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,RHME,no,3,10,NA,Rhododendron menziesii,false azalea or azalea,NA,NA,NA,3,D075,2022-10-13
546,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,CIAL,no,2,10,NA,Circaea alpina,alpine enchanter's nightshade,NA,NA,NA,2,D075,2022-10-13
547,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,MADI,no,1,10,NA,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,1,D075,2022-10-13
548,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,LYAM,elk,5,10,NA,Lysichiton americanus,skunk cabbage,NA,NA,NA,5,D075,2022-10-13
549,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,STCO,no,2,10,NA,Stachys cooleyae,Cooley's Hedge-nettle,NA,NA,NA,2,D075,2022-10-13
550,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,OPHO,no,2,10,NA,Oplopanax horridus,devil's club,NA,NA,NA,2,D075,2022-10-13
551,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,RUSP,no,15,10,NA,Rubus spectabilis,salmonberry,NA,preferred,NA,15,D075,2022-10-13
552,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,STSP,no,2,10,NA,Struthiopteris spicant,deer fern,NA,NA,NA,2,D075,2022-10-13
553,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,TITR,no,5,10,NA,Tiarella trifoliata,foam flower,NA,NA,NA,5,D075,2022-10-13
554,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,VAPA,no,3,10,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,3,D075,2022-10-13
555,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,MICA,no,10,10,NA,Mitellastra caulescens,mitrewort,NA,NA,NA,10,D075,2022-10-13
556,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,RIBR,no,15,10,NA,Ribes bracteosum,stink currant,NA,NA,NA,15,D075,2022-10-13
557,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,SARA,no,20,10,NA,Sambucus racemosa,red elderberry,NA,highly preferred,NA,20,D075,2022-10-13
558,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,TOME,no,40,10,NA,Tolmiea menziesii,piggyback plant,NA,NA,NA,40,D075,2022-10-13
559,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,EQXXSP,no,1,10,NA,Equisetum sp.,horsetail species,NA,NA,NA,1,D075,2022-10-13
560,2022-10-13T10:15:00Z,Charley Creek,BDAEast,BDA,yes,D,75,CCEBTD075,HYTE,no,1,10,NA,Hydrophyllum tenuipes,Pacific waterleaf,NA,NA,NA,1,D075,2022-10-13
561,2022-11-02T10:45:00Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,PSME,no,20,11,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,20,D020,2022-11-02
562,2022-11-02T10:45:00Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,THPL,no,2,11,NA,Thuja plicata,western redcedar,tree,NA,NA,2,D020,2022-11-02
563,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,TSHE,no,60,11,NA,Tsuga heterophylla,western hemlock,tree,NA,NA,60,D020,2022-11-02
564,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,ATFE,no,trace,11,NA,Athyrium filix-femina,lady fern,NA,NA,NA,0.5,D020,2022-11-02
565,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,DRAR,no,trace,11,NA,Dryopteris arguta,wood fern,NA,NA,NA,0.5,D020,2022-11-02
566,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,GYDI,no,5,11,NA,Gymnocarpium disjunctum,oak fern,NA,NA,NA,5,D020,2022-11-02
567,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,GOOB,no,2,11,NA,Goodyera oblongifolia,rattlesnake plantain,NA,NA,NA,2,D020,2022-11-02
568,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,MARA,no,15,11,NA,Maianthemum racemosum,false Soloman's seal,NA,NA,NA,15,D020,2022-11-02
569,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,OPHO,no,2,11,NA,Oplopanax horridus,devil's club,NA,NA,NA,2,D020,2022-11-02
570,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,POMU,no,1,11,NA,Polystichum munitum,sword fern,NA,NA,NA,1,D020,2022-11-02
571,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,STSP,no,15,11,NA,Struthiopteris spicant,deer fern,NA,NA,NA,15,D020,2022-11-02
572,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,TITR,no,15,11,NA,Tiarella trifoliata,foam flower,NA,NA,NA,15,D020,2022-11-02
573,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,VAPA,no,2,11,NA,Vaccinium parvifolium,red huckleberry,NA,NA,NA,2,D020,2022-11-02
574,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,VIXXSP,no,1,11,NA,Viola sp.,violet species,NA,NA,NA,1,D020,2022-11-02
575,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,LYAM,no,1,11,NA,Lysichiton americanus,skunk cabbage,NA,NA,NA,1,D020,2022-11-02
576,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,MADI,no,trace,11,NA,Maianthemum dilatatum,false lily of the valley,NA,NA,NA,0.5,D020,2022-11-02
577,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,CLUN,no,2,11,NA,Clintonia uniflora,queens cups,NA,NA,NA,2,D020,2022-11-02
578,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,COUN,no,trace,11,NA,Cornus unalaschkensis,bunchberry,NA,NA,NA,0.5,D020,2022-11-02
579,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,ACTR,no,4,11,NA,Achlys triphylla,vanilla leaf,NA,NA,NA,4,D020,2022-11-02
580,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,20,CCNWTD020,CHUM,no,5,11,NA,Chimaphyla umbellata,pipsissewa,NA,NA,NA,5,D020,2022-11-02
581,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,75,CCNWTD075,ABAM,no,15,11,NA,Abies amabilis,Pacific silver fir,tree,NA,NA,15,D075,2022-11-02
582,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,75,CCNWTD075,PSME,no,30,11,NA,Pseudotsuga menziesii,Douglas fir,tree,NA,NA,30,D075,2022-11-02
583,2022-11-02T10:44:59Z,Charley Creek,WillowNorth,Willow,yes,D,75,CCNWTD075,THPL,no,3,11,NA,Thuja plicata,western redcedar,tree,NA,NA,3,D075,2022-11-02
